,VOC,JSC,FF,PCE
0,687.0,10.79,0.7,5.19
7,678.0,13.2,0.67,6.0
8,695.0,12.2,0.74,6.2
9,800.0,9.0,0.76,5.5
10,560.0,3.41,0.73,1.39
11,660.0,7.72,0.71,3.62
12,600.0,4.03,0.73,1.77
13,690.0,5.79,0.7,2.8
14,580.0,3.33,0.73,1.41
16,380.0,4.5,0.63,1.1
17,340.0,2.7,0.63,0.6
18,490.0,7.5,0.7,2.6
19,480.0,12.8,0.6,3.7
22,530.0,13.2,0.67,4.7
23,500.0,9.4,0.65,3.1
24,500.0,12.9,0.64,4.1
26,410.0,4.1,0.56,0.9
27,660.0,12.1,0.73,5.8
29,700.0,14.3,0.64,6.4
30,796.0,6.98,0.87,3.81
35,540.0,14.7,0.49,3.9
48,663.0,18.01,0.7616,9.09
49,690.0,9.79,0.71,4.78
50,500.0,0.96,0.69,0.33
51,660.0,7.72,0.71,3.62
52,554.0,2.98,0.63,1.04
53,704.0,4.57,0.724,2.33
56,711.0,6.21,0.729,3.22
58,756.0,8.98,0.69,4.66
60,580.0,14.3,0.72,5.97
62,560.0,13.3,0.68,5.03
63,600.0,14.2,0.7,6.07
64,620.0,10.5,0.57,3.73
65,570.0,13.3,0.56,4.37
68,610.0,16.5,0.76,7.6
72,510.0,14.32,0.73,5.3
84,620.0,15.5,0.7,6.7
92,640.0,16.9,0.72,7.8
95,510.0,11.1,0.6,3.4
99,600.0,14.0,0.71,6.0
101,670.0,14.7,0.73,7.2
102,491.0,2.461,0.635,0.767
103,501.0,2.082,0.614,0.64
104,502.0,1.081,0.66,0.358
105,470.0,1.912,0.69,0.581
106,441.0,1.754,0.683,0.528
107,490.0,0.936,0.651,0.299
108,610.0,13.47,0.68,5.53
110,561.0,10.5,0.68,4.02
113,536.0,8.36,0.72,3.24
114,590.0,12.91,0.61,4.59
116,550.0,2.18,0.69,1.03
118,710.0,10.4,0.74,5.5
119,740.0,9.9,0.74,5.4
122,710.0,12.9,0.74,6.8
123,680.0,12.5,0.69,5.9
126,588.0,5.09,0.735,2.2
128,694.0,16.38,0.707,8.03
132,760.0,10.4,0.72,5.2
133,748.0,8.3,0.73,4.1
134,731.0,7.5,0.71,3.5
135,709.0,6.79,0.7,3.1
142,620.0,10.94,0.7,4.7
143,540.0,9.52,0.65,3.36
144,610.0,12.97,0.64,5.06
146,670.0,14.53,0.61,5.94
147,690.0,14.33,0.63,6.24
148,720.0,10.9,0.57,2.48
149,710.0,4.12,0.71,1.65
150,610.0,8.47,0.6,2.39
154,690.0,12.16,0.69,4.68
161,610.0,11.43,0.69,4.66
163,609.0,9.83,0.7,5.02
164,714.0,11.5,0.66,5.15
165,874.0,7.85,0.71,3.87
166,919.0,9.11,0.68,3.76
174,700.0,14.5,0.69,7.3
175,650.0,16.0,0.71,8.1
176,741.0,3.76,0.77,1.79
177,636.0,1.39,0.73,0.55
178,675.0,12.52,0.676,5.6
181,448.0,6.0,0.732,2.0
182,580.0,13.75,0.69,5.52
183,706.0,16.36,0.645,7.5
184,730.0,12.08,0.69,5.07
185,767.0,10.99,0.69,5.4
186,792.0,10.2,0.65,5.1
187,580.0,9.71,0.72,5.3
188,660.0,9.73,0.72,5.4
189,938.0,3.9,0.681,1.56
190,627.0,7.37,0.686,3.29
191,620.0,8.3,0.738,3.8
192,632.0,4.85,0.735,2.36
193,639.0,3.22,0.73,1.53
194,673.0,2.43,0.711,1.2
195,638.0,9.68,0.74,4.56
196,830.0,13.33,0.62,6.87
197,830.0,14.33,0.65,7.78
198,800.0,13.03,0.67,6.98
202,820.0,10.25,0.6,5.05
204,540.0,3.64,0.65,1.29
205,525.0,3.94,0.628,1.3
206,425.0,1.57,0.635,0.4
207,675.0,14.96,0.682,6.8
208,575.0,1.28,0.58,0.5
209,615.0,3.64,0.57,1.3
210,698.0,3.87,0.65,1.8
211,683.0,4.46,0.6,1.9
212,638.0,3.33,0.57,1.2
213,613.0,1.07,0.53,0.4
214,627.0,1.77,0.59,0.6
215,607.0,2.0,0.58,0.7
217,818.5,9.23,0.7597,5.74
218,768.7,10.26,0.7224,5.7
219,781.7,10.2,0.755,6.02
220,730.6,10.98,0.7213,5.78
221,734.0,13.01,0.68,6.49
223,679.0,9.13,0.71,4.4
224,705.0,12.63,0.69,6.14
225,748.0,14.02,0.68,7.13
226,710.0,12.96,0.71,6.63
227,636.0,18.692,0.6137,7.3
228,606.0,15.864,0.6287,6.04
229,530.0,5.63,0.68,2.02
230,690.0,9.36,0.69,4.47
231,645.0,15.18,0.69,6.72
232,708.0,11.69,0.653,5.4
234,662.0,9.77,0.671,4.34
235,635.0,6.71,0.66,2.83
241,710.0,13.6,0.736,7.1
242,702.0,13.1,0.748,6.9
243,429.0,6.0,0.734,1.9
245,440.0,5.6,0.738,1.8
247,404.0,4.9,0.726,1.4
249,740.0,6.98,0.69,3.56
250,740.0,7.86,0.71,4.13
251,628.0,6.94,0.75,3.26
252,656.0,11.65,0.68,5.16
253,720.0,11.1,0.749,6.0
254,615.0,14.5,0.67,6.1
256,680.0,11.19,0.6497,4.97
257,660.0,8.5,0.79,4.4
260,714.0,13.2,0.768,7.3
