,Electrolyte,Co-adsorbent,Co-sensitizer,Semiconductor,Molecule keywords
0,Iodide_Triiodide,None,None,TiO2,phenothiazine
7,Iodide_Triiodide,None,None,TiO2,"coumarin, triphenylamine"
8,Iodide_Triiodide,None,None,TiO2,"coumarin, triphenylamine"
9,Iodide_Triiodide,None,None,TiO2,"coumarin, triphenylamine"
10,Iodide_Triiodide,None,None,TiO2,coumarin
11,Iodide_Triiodide,None,None,TiO2,coumarin
12,Iodide_Triiodide,None,None,TiO2,coumarin
13,Iodide_Triiodide,None,None,TiO2,coumarin
14,Iodide_Triiodide,None,None,TiO2,coumarin
16,Iodide_Triiodide,None,None,TiO2,coumarin
17,Iodide_Triiodide,None,None,TiO2,coumarin
18,Iodide_Triiodide,None,None,TiO2,coumarin
19,Iodide_Triiodide,None,None,TiO2,coumarin
22,Iodide_Triiodide,None,None,TiO2,coumarin
23,Iodide_Triiodide,None,None,TiO2,coumarin
24,Iodide_Triiodide,None,None,TiO2,coumarin
26,Iodide_Triiodide,None,None,TiO2,coumarin
27,Iodide_Triiodide,DCA,None,TiO2,coumarin
29,Iodide_Triiodide,DCA,None,TiO2,coumarin
30,Iodide_Triiodide,None,None,TiO2,"carbazole, benzothiadiazole"
35,Iodide_Triiodide,DCA,None,TiO2,coumarin
48,Iodide_Triiodide,7 mM CC1(C2=CC=CC=C2C=2C=CC(=CC12)N(C1=CC=C(C(=O)O)C=C1)C1=CC=2C(C3=CC=CC=C3C2C=C1)(C)C)C,None,TiO2,coumarin
49,Iodide_Triiodide,None,None,TiO2,coumarin
50,Iodide_Triiodide,None,None,TiO2,coumarin
51,Iodide_Triiodide,None,None,TiO2,coumarin
52,Iodide_Triiodide,None,None,TiO2,coumarin
53,Iodide_Triiodide,None,None,TiO2,coumarin
56,Iodide_Triiodide,CDCA,None,TiO2,coumarin
58,Iodide_Triiodide,None,None,TiO2,phenothiazine
60,Iodide_Triiodide,DCA,None,TiO2,coumarin
62,Iodide_Triiodide,DCA,None,TiO2,coumarin
63,Iodide_Triiodide,DCA,None,TiO2,coumarin
64,Iodide_Triiodide,DCA,None,TiO2,coumarin
65,Iodide_Triiodide,DCA,None,TiO2,coumarin
68,Iodide_Triiodide,None,None,TiO2,coumarin
72,Iodide_Triiodide,None,None,TiO2,coumarin
84,Iodide_Triiodide,None,None,TiO2,coumarin
92,Iodide_Triiodide,CDCA,None,TiO2,coumarin
95,Iodide_Triiodide,None,None,TiO2,coumarin
99,Iodide_Triiodide,None,None,TiO2,coumarin
101,Iodide_Triiodide,CDCA,None,TiO2,coumarin
102,Iodide_Triiodide,None,None,TiO2,iminocoumarin
103,Iodide_Triiodide,None,None,TiO2,iminocoumarin
104,Iodide_Triiodide,None,None,TiO2,iminocoumarin
105,Iodide_Triiodide,None,None,TiO2,iminocoumarin
106,Iodide_Triiodide,None,None,TiO2,iminocoumarin
107,Iodide_Triiodide,None,None,TiO2,iminocoumarin
108,Iodide_Triiodide,None,None,TiO2,coumarin
110,Iodide_Triiodide,None,None,TiO2,coumarin
113,Iodide_Triiodide,DCA,None,TiO2,coumarin
114,Iodide_Triiodide,None,None,TiO2,coumarin
116,Iodide_Triiodide,None,None,TiO2,coumarin
118,Iodide_Triiodide,DCA,None,TiO2,dimethylaniline
119,Iodide_Triiodide,DCA,None,TiO2,dimethylaniline
122,Iodide_Triiodide,DCA,None,TiO2,dimethylaniline
123,Iodide_Triiodide,DCA,None,TiO2,dimethylaniline
126,Iodide_Triiodide,CDCA,None,TiO2,coumarin
128,Iodide_Triiodide,CDCA,None,TiO2,coumarin
132,Iodide_Triiodide,None,None,TiO2,coumarin
133,Iodide_Triiodide,None,None,TiO2,coumarin
134,Iodide_Triiodide,None,None,TiO2,coumarin
135,Iodide_Triiodide,None,None,TiO2,coumarin
142,Iodide_Triiodide,None,None,TiO2,coumarin
143,Iodide_Triiodide,None,None,TiO2,coumarin
144,Iodide_Triiodide,None,None,TiO2,coumarin
146,Iodide_Triiodide,None,None,TiO2,coumarin
147,Iodide_Triiodide,None,None,TiO2,coumarin
148,Iodide_Triiodide,None,None,TiO2,carbazole
149,Iodide_Triiodide,None,None,TiO2,"carbazole, benzothiadiazole"
150,Iodide_Triiodide,None,None,TiO2,carbazole
154,Iodide_Triiodide,CDCA,None,TiO2,carbazole
161,Iodide_Triiodide,CDCA,None,TiO2,carbazole
163,Iodide_Triiodide,CDCA,None,TiO2,carbazole
164,Iodide_Triiodide,CDCA,None,TiO2,carbazole
165,Iodide_Triiodide,CDCA,None,TiO2,carbazole
166,Iodide_Triiodide,CDCA,None,TiO2,carbazole
174,Iodide_Triiodide,None,None,TiO2,carbazole
175,Iodide_Triiodide,None,None,TiO2,carbazole
176,Iodide_Triiodide,CDCA,None,TiO2,carbazole
177,Iodide_Triiodide,CDCA,None,TiO2,carbazole
178,Iodide_Triiodide,None,None,TiO2,phenothiazine
181,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
182,Iodide_Triiodide,None,None,TiO2,oligothiophene
183,Iodide_Triiodide,None,None,TiO2,phenothiazine
184,Iodide_Triiodide,None,None,TiO2,"carbazole, benzothiadiazole"
185,Iodide_Triiodide,None,None,TiO2,"carbazole, benzothiadiazole"
186,Iodide_Triiodide,None,None,TiO2,carbazole
187,Iodide_Triiodide,None,None,TiO2,carbazole
188,Iodide_Triiodide,None,None,TiO2,carbazole
189,Iodide_Triiodide,None,None,TiO2,carbazole
190,Iodide_Triiodide,None,None,TiO2,carbazole
191,Iodide_Triiodide,None,None,TiO2,carbazole
192,Iodide_Triiodide,None,None,TiO2,carbazole
193,Iodide_Triiodide,None,None,TiO2,carbazole
194,Iodide_Triiodide,None,None,TiO2,carbazole
195,Iodide_Triiodide,None,None,TiO2,phenothiazine
196,Iodide_Triiodide,DCA,None,TiO2,phenothiazine
197,Iodide_Triiodide,DCA,None,TiO2,phenothiazine
198,Iodide_Triiodide,DCA,None,TiO2,phenothiazine
202,Iodide_Triiodide,None,None,TiO2,phenothiazine
204,Iodide_Triiodide,None,None,TiO2,diethylamino
205,Iodide_Triiodide,None,None,TiO2,phenothiazine
206,Iodide_Triiodide,None,None,TiO2,phenothiazine
207,Iodide_Triiodide,None,None,TiO2,phenothiazine
208,Iodide_Triiodide,None,None,TiO2,phenothiazine
209,Iodide_Triiodide,None,None,TiO2,phenothiazine
210,Iodide_Triiodide,None,None,TiO2,phenothiazine
211,Iodide_Triiodide,None,None,TiO2,phenothiazine
212,Iodide_Triiodide,None,None,TiO2,phenothiazine
213,Iodide_Triiodide,None,None,TiO2,phenothiazine
214,Iodide_Triiodide,None,None,TiO2,phenothiazine
215,Iodide_Triiodide,None,None,TiO2,phenothiazine
217,Iodide_Triiodide,None,None,TiO2,phenothiazine
218,Iodide_Triiodide,None,None,TiO2,phenothiazine
219,Iodide_Triiodide,None,None,TiO2,phenothiazine
220,Iodide_Triiodide,None,None,TiO2,phenothiazine
221,Iodide_Triiodide,None,None,TiO2,phenothiazine
223,Iodide_Triiodide,None,None,TiO2,phenoxazine
224,Iodide_Triiodide,None,None,TiO2,phenothiazine
225,Iodide_Triiodide,None,None,TiO2,phenothiazine
226,Iodide_Triiodide,None,None,TiO2,phenothiazine
227,Iodide_Triiodide,None,None,TiO2,phenothiazine
228,Iodide_Triiodide,None,None,TiO2,phenothiazine
229,Iodide_Triiodide,None,None,TiO2,diethylamino
230,Iodide_Triiodide,None,None,TiO2,phenothiazine
231,Iodide_Triiodide,None,None,TiO2,phenothiazine
232,Iodide_Triiodide,None,None,TiO2,phenothiazine
234,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
235,Iodide_Triiodide,None,None,TiO2,phenothiazine
241,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
242,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
243,Iodide_Triiodide,CDCA,None,TiO2,"phenothiazine, squaraine"
245,Iodide_Triiodide,CDCA,None,TiO2,"phenothiazine, squaraine"
247,Iodide_Triiodide,CDCA,None,TiO2,"phenothiazine, squaraine"
249,Iodide_Triiodide,None,None,TiO2,phenothiazine
250,Iodide_Triiodide,None,None,TiO2,phenothiazine
251,Iodide_Triiodide,None,None,TiO2,phenothiazine
252,Iodide_Triiodide,None,None,TiO2,phenothiazine
253,Iodide_Triiodide,None,None,TiO2,"phenanthrenequinone, phenothiazine"
254,Co(II)_Co(III),None,None,TiO2,phenothiazine
256,Iodide_Triiodide,CDCA,None,TiO2,phenoxazine
257,Iodide_Triiodide,None,None,TiO2,phenothiazine
260,Iodide_Triiodide,None,None,TiO2,"phenothiazine, indolium"
261,Iodide_Triiodide,None,None,TiO2,"phenothiazine, pyridinium"
262,Iodide_Triiodide,None,None,TiO2,"phenothiazine, indolium"
267,Iodide_Triiodide,None,None,TiO2,phenothiazine
269,Iodide_Triiodide,None,None,TiO2,phenothiazine
270,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
272,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
274,Iodide_Triiodide,None,None,TiO2,phenoxazine
275,Iodide_Triiodide,None,None,TiO2,phenoxazine
277,Iodide_Triiodide,None,None,TiO2,phenothiazine
279,Iodide_Triiodide,None,None,TiO2,phenothiazine
280,Iodide_Triiodide,None,None,TiO2,phenothiazine
281,Iodide_Triiodide,None,None,TiO2,phenothiazine
282,Iodide_Triiodide,None,None,TiO2,phenothiazine
283,Iodide_Triiodide,None,None,TiO2,diethylamino
284,Iodide_Triiodide,None,None,TiO2,phenoxazine
285,Iodide_Triiodide,None,None,TiO2,phenoxazine
286,Iodide_Triiodide,None,None,TiO2,phenothiazine
287,Iodide_Triiodide,None,None,TiO2,phenothiazine
288,Iodide_Triiodide,None,None,TiO2,phenothiazine
289,Iodide_Triiodide,None,None,TiO2,phenothiazine
290,Iodide_Triiodide,None,None,TiO2,phenothiazine
291,Iodide_Triiodide,None,None,TiO2,phenothiazine
295,Iodide_Triiodide,None,None,TiO2,phenothiazine
296,Iodide_Triiodide,None,None,TiO2,phenothiazine
298,Iodide_Triiodide,None,None,TiO2,phenothiazine
299,Iodide_Triiodide,None,None,TiO2,phenothiazine
300,Iodide_Triiodide,None,None,TiO2,phenothiazine
301,Iodide_Triiodide,None,None,TiO2,phenothiazine
303,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
307,Iodide_Triiodide,CDCA,None,TiO2,phenoxazine
308,Iodide_Triiodide,None,None,TiO2,phenothiazine
309,Iodide_Triiodide,None,None,TiO2,phenothiazine
310,Iodide_Triiodide,None,None,TiO2,phenothiazine
311,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
312,Iodide_Triiodide,None,None,TiO2,phenothiazine
313,Iodide_Triiodide,None,None,TiO2,phenothiazine
